"chef_name","next_date","Number_Of_Reviews","synopsis"
"Chef Jimi","Next Date: Mon, Feb 24th & other times","13 Reviews","Enjoy the buttery elegance of lobster and the earthy tenderness of duck with Chef Jimi. Chef Jimi uses farm-fresh ingredients to create a modern menu teeming with delightful textures and flavors. Your private chef meal begins with a peppery arugula and pancetta salad, and crunchy Italian rice balls filled with..."
"Chef Kenneth","Next Date: Tue, Feb 25th & other times","32 Reviews","Fans of steakhouse dining can savor a satisfying spread from salad to dessert. In this gourmet private chef meal, Chef Kenneth will curate, prepare and serve a decadent menu of classic and modern steakhouse favorites. Begin by enjoying an earthy roasted beet salad with arugula and goat cheese croutons, then sink..."
"Chef Misun","Next Date: Tue, Feb 25th & other times","81 Reviews","Get ready to enjoy an authentic Korean BBQ experience, tasting its signature dishes. During this private chef meal, Chef Misun will take you on a journey filled with flavors and expertise. She will demonstrate how an authentic Korean BBQ is done, showcasing her skills in preparing exquisite meals.

You'll..."
"Chef Jasmine","Next Date: Tue, Feb 25th & other times","13 Reviews","Celebrate the season with a plant-forward holiday feast that's ready to impress your guests. In this private chef meal, Chef Jasmine presents a vibrant showcase of seasonal flavors in a bountiful plant-based feast. You can choose from an array of chef specialties, including vegetarian and vegan options for an..."
"Chef Josh or Local Hibachi Chef","Next Date: Tue, Feb 25th & other times","5 Reviews","Uncover the artistry of Japanese hibachi cooking. Delight in the interactive and flavorful world of hibachi grill with this private chef meal led by Chef Josh. He will set up his own hibachi grill to prepare a delicious array of proteins, from strip steak to seafood and vegetarian options. Sit back and enjoy the..."
"Chef Frankie or Resident Chef","Next Date: Wed, Feb 26th & other times","5 Reviews","Surround yourself with the artistry of the Japanese grill and savor the delicious feast. Transform your outdoor space into a gourmet Japanese steakhouse with a hibachi-centered private chef meal. Chef Frankie will bring his professional grill and culinary expertise to prepare a vibrant meal right before your..."
"Chef Robert","Next Date: Wed, Feb 26th & other times","1 Review","Enjoy a prime rib dinner prepared by Chef Robert with delicious sides. Enjoy a private chef meal with Chef Robert, who takes care of all cooking, preparation and cleanup. Delight in a carefully crafted menu that features prime rib as the star, along with expertly prepared sides and dessert.

Start with a fresh..."
"Chef Pierre","Next Date: Wed, Feb 26th & other times","1 Review","Enjoy a Thanksgiving meal crafted with care by a professional chef, delivered fresh. Chef Pierre’s Thanksgiving drop-off menu combines French-inspired finesse with holiday comfort. With years of fine dining experience, Chef Pierre meticulously prepares each course, giving you time to connect with family and..."
"Chef Kamal","Next Date: Thu, Feb 27th & other times","6 Reviews","Join Chef Kamal for a fusion of Parisian flavors and modern techniques. In this private chef meal, Chef Kamal blends classic French culinary techniques with bold, modern flavor profiles. With thoughtful preparation, he creates each dish with care and attention to detail, ensuring a memorable meal.

Begin the..."
"Chef Gabriel","Next Date: Sat, Mar 1st & other times","1 Review","Enjoy an elegant meal of skirt steak and seared scallops skillfully prepared by Chef Gabriel. In this private chef meal, Chef Gabriel will prepare a refined surf-and-turf menu for you to enjoy. The first course is a light and simple honey roasted pecan salad with goat cheese. Then, you'll be treated to perfectly..."
